N°,Zona,Un.lect.,Contrato,Tp.tarifa,Instalacion,Fact.cálculo,Equipo,Número de serie,Fabricante,Denomin.tipo,DS,¿Telesgestionada?,Tipo de medicion,Lista,Municipio,Población,Distrito,Calle,01/01/2019,02/01/2019,03/01/2019,04/01/2019,05/01/2019,06/01/2019,07/01/2019,08/01/2019,09/01/2019,10/01/2019,11/01/2019,12/01/2019,01/01/2020,02/01/2020,03/01/2020,04/01/2020,05/01/2020,06/01/2020,07/01/2020,08/01/2020,09/01/2020,10/01/2020,11/01/2020,12/01/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,Prioridad,Promedio,% Variacion,Tendencia ,Grafico ,Ordenes,Observacion
93,OP,OP_78_01,207023701,G_GMH,30090690,160,1.00E+11,322058,LANDIS + GYR,RXRS4,CT3099,Medición Convencional ,Medicion Secundaria,METROGAS DE EL SALVADOR S.A. DE C.V.,SAN JUAN OPICO,CANTON SITIO DEL NIÑO,COLONIA NUEVA CANDELARIA,CARRETERA A OPICO,22384.00,24240.00,26992.00,24656.00,25920.00,26096.00,28336.00,31136.00,25408.00,24416.00,24000.00,26160.00,23232.00,25328.00,25760.00,24800.00,25328.00,24000.00,24240.00,24800.00,25008.00,25984.00,21680.00,23840.00,25648.00,24896.00,27312.00,25680.00,27056.00,26096.00,25552.00,26000.00,26288.00,25536.00,25696.00,24784.00,24464.00,25616.00,23840.00,23264.00,23904.00,24608.00,24480.00,23968.00,23056.00,23056.00,Media,"25,099",6.14%,-,,,
1055,ST,ST_78_11,207024301,G_MMH,30091204,40,1.00E+11,226,SCHLUMBERGER,SV4AR,DS103815,Medición Convencional ,Medicion Secundaria,"PROSERDI, S.A. DE C.V.",COLON,COLON,COLONIA  LAS MORITAS,CARRETERA PANAMERICANA,52.00,48.00,56.00,60.00,52.00,48.00,60.00,60.00,28.00,52.00,64.00,64.00,60.00,56.00,72.00,64.00,60.00,64.00,68.00,60.00,64.00,64.00,60.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Baja,30,98.42%,-,,,
1025,ST,ST_09_12,207025801,G_GMH,30091294,80,1.00E+11,214481,LANDIS + GYR,RXRS4,DS102491,Medición Convencional ,Medicion Secundaria,LA ASOCIACION ARAAC,COLON,EL CHAPARRAL,COLONIA EL CHAPARRAL 1,CALLE A LA CANCHA DE FUTBOL,35224.00,36672.00,38240.00,39216.00,36968.00,32800.00,36952.00,37624.00,37184.00,28872.00,29192.00,31208.00,32712.00,33472.00,36616.00,36888.00,38224.00,34944.00,34144.00,38528.00,37912.00,36072.00,32304.00,34416.00,34664.00,35376.00,37088.00,39440.00,36448.00,36448.00,35024.00,34856.00,32224.00,35088.00,33456.00,37024.00,35832.00,39616.00,36016.00,38376.00,35016.00,33320.00,35288.00,34608.00,35432.00,35432.00,Media,"35,488",6.84%,-,,,
1425,ST,ST_78_16,207026401,E_GMH,30091648,240,1.00E+11,106004,LANDIS + GYR,RXRS4,CT901885,Medición Convencional ,Medicion Primaria ,MAYA COUNTRY CLUB EL SALVADOR SALVADOR,SANTA TECLA,SANTA TECLA,RES EL CARMEN,CALLE MAYA  COUNTRY CLUB,17736.00,18384.00,18264.00,17904.00,17928.00,17448.00,19080.00,17808.00,17880.00,17112.00,17304.00,18888.00,16032.00,16224.00,16248.00,5616.00,4248.00,4512.00,4536.00,4464.00,7128.00,10656.00,10968.00,12744.00,11712.00,11424.00,13152.00,13128.00,12864.00,13128.00,12672.00,12072.00,12264.00,12264.00,11784.00,11688.00,8256.00,2232.00,0.00,,,,,,,,#N/D,#N/D,0.00%,-,,,
1428,ST,ST_78_16,207026501,G_GMH,30091682,600,1.00E+11,414619,SIEMENS,RXRS4 (114E),CT900541,Medición Tele gestionada,Medicion Primaria ,"BANCO CUSCATLAN DE EL SALVADOR, S.A.",SANTA TECLA,SANTA TECLA,RES EL CARMEN,CALLE MAYA  COUNTRY CLUB,234900.00,251400.00,271920.00,240540.00,251100.00,239340.00,226740.00,207120.00,220260.00,184800.00,167520.00,169080.00,168660.00,172560.00,177300.00,162600.00,147960.00,148200.00,159720.00,148800.00,158880.00,167640.00,156300.00,167820.00,163380.00,163320.00,166620.00,166560.00,194340.00,205680.00,200640.00,188880.00,204360.00,200100.00,210540.00,211800.00,195540.00,197220.00,187080.00,196080.00,191100.00,196980.00,194760.00,189600.00,184920.00,184920.00,Alta,"191,208",15.19%,-,,,
1422,ST,ST_78_16,207026601,G_GMH,30091922,80,1.00E+11,213890,LANDIS + GYR,RXRS4,CT900540,Medición Convencional ,Medicion Secundaria,"BANCO CUSCATLAN DE EL SALVADOR, S.A.",SANTA TECLA,SANTA TECLA,RES EL CARMEN,CALLE MAYA  COUNTRY CLUB,10480.00,10688.00,11800.00,11552.00,11512.00,12432.00,12704.00,12272.00,12136.00,10376.00,9752.00,10200.00,10632.00,10232.00,11296.00,11752.00,10968.00,10248.00,11072.00,11312.00,10744.00,10184.00,8728.00,9096.00,9352.00,10320.00,11136.00,11016.00,11192.00,11712.00,10912.00,11568.00,10424.00,10384.00,9800.00,8920.00,9120.00,10776.00,10944.00,10728.00,9912.00,11752.00,11840.00,10304.00,9376.00,9376.00,Media,"10,718",9.05%,-,,,
1431,ST,ST_78_16,207026701,G_GMH,30091971,240,1.00E+11,183079,SIEMENS,RXRS4 (114E),CT900542,Medición Convencional ,Medicion Primaria ,"SEGUROS E INVERSIONES, S.A.",SANTA TECLA,SANTA TECLA,SANTA TECLA,CALLE PANAMERICANA,25752.00,26304.00,34992.00,31152.00,31656.00,33888.00,40704.00,36552.00,39144.00,38040.00,37920.00,39528.00,35640.00,35976.00,41040.00,34992.00,34392.00,33672.00,36048.00,30216.00,31752.00,32688.00,28440.00,32280.00,33072.00,33624.00,37632.00,36432.00,34296.00,37632.00,32995.00,32928.00,34848.00,33840.00,33360.00,30336.00,27576.00,33024.00,31584.00,31896.00,30816.00,31776.00,30096.00,30216.00,28464.00,28464.00,Media,"33,428",10.28%,-,,,
1350,ST,ST_78_07,207026801,G_GMH,30092009,160,1.00E+11,106326,LANDIS + GYR,RXRS4,CT900398,Medición Convencional ,Medicion Secundaria,"SERVAMATIC, S.A. DE C.V.",SANTA TECLA,SANTA TECLA,SANTA TECLA,4° CALLE ORIENTE,33680.00,34768.00,33760.00,31392.00,34144.00,34800.00,35744.00,36384.00,36592.00,32800.00,30720.00,33440.00,31248.00,30960.00,34016.00,22224.00,19184.00,18592.00,22640.00,23152.00,25824.00,27456.00,26416.00,29040.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00%,-,,,
618,SS,SS_16_04,105126201,G_MMP,30027709,60,1.00E+11,1104030,LANDIS + GYR,E650 S4x RXR F5S,CT900992,Medición Convencional ,Medicion Secundaria,BATERIAS DE EL SALVADOR S.A. DE C.V.,SAN SALVADOR,SAN SALVADOR,COLONIA PALERMO,BLVD LOS PROCERES,2856.00,3090.00,3126.00,2856.00,2664.00,1836.00,3558.00,2472.00,2574.00,2340.00,2544.00,2418.00,2274.00,2550.00,2640.00,1302.00,972.00,1074.00,1626.00,1656.00,1608.00,2130.00,1542.00,3090.00,1812.00,1950.00,2478.00,2316.00,2100.00,2118.00,2112.00,2040.00,1764.00,2088.00,2208.00,1962.00,2010.00,2172.00,2034.00,2052.00,1914.00,2262.00,2166.00,2178.00,1872.00,1872.00,Baja,"2,180",23.42%,-,,,
1355,ST,ST_78_07,207027201,G_GMH,30092375,160,1.00E+11,183134,LANDIS + GYR,RXRS4,CT900393,Medición Convencional ,Medicion Secundaria,"CTE,S.A. DE C.V.",SANTA TECLA,SANTA TECLA,SANTA TECLA,17° AVENIDA NORTE,11680.00,12688.00,16032.00,15184.00,13952.00,13712.00,15056.00,12528.00,11568.00,11072.00,13824.00,14112.00,12528.00,14912.00,16112.00,13664.00,10432.00,10336.00,11008.00,10560.00,11488.00,13968.00,11136.00,10704.00,10656.00,10256.00,12304.00,13312.00,14960.00,15392.00,14128.00,10592.00,10432.00,9824.00,9552.00,10144.00,8176.00,11520.00,12160.00,12736.00,10000.00,11168.00,10384.00,10160.00,9152.00,9152.00,Media,"12,053",16.94%,-,,,
1358,ST,ST_78_07,207027301,G_GMH,30092506,1200,1.00E+11,478525,SIEMENS,LIBRA (114E),CT900395,Medición Tele gestionada,Medicion Primaria ,INSTITUTO TECNOLOGIC CENTROAMERICANO,SANTA TECLA,SANTA TECLA,SANTA TECLA,2° CALLE ORIENTE,76248.00,105492.00,132540.00,116352.00,117720.00,126960.00,115248.00,110796.00,126732.00,115620.00,113832.00,106512.00,75564.00,96600.00,118680.00,54468.00,45708.00,43908.00,45552.00,43128.00,48300.00,52596.00,50712.00,58944.00,54900.00,58296.00,63540.00,59664.00,67704.00,72756.00,70320.00,67896.00,75012.00,74148.00,71664.00,58500.00,67860.00,74016.00,74772.00,77292.00,84240.00,78504.00,79332.00,88884.00,83088.00,83088.00,Alta,"80,080",31.99%,-,,,
1359,ST,ST_78_07,207027601,G_GMH,30092732,1200,1.00E+11,321735,LANDIS + GYR,RXRS4,CT900383,Medición Tele gestionada,Medicion Primaria ,TELEVISION EDUCATIVA Y CULTURAL CANAL 10,SANTA TECLA,SANTA TECLA,SANTA TECLA,13° AVENIDA NORTE,31080.00,35160.00,36840.00,32280.00,32400.00,35160.00,36720.00,33480.00,36480.00,34800.00,33840.00,35640.00,27360.00,32040.00,34200.00,21480.00,18840.00,26880.00,27480.00,21480.00,24720.00,33120.00,29880.00,32760.00,31200.00,34800.00,32640.00,37320.00,42360.00,39240.00,36960.00,36480.00,36360.00,35040.00,37920.00,30960.00,30240.00,37200.00,35040.00,35880.00,32160.00,36240.00,34680.00,21840.00,13560.00,13560.00,Media,"31,865",19.89%,-,,,
1259,ST,ST_78_01,207027801,G_MMP,30093015,160,1.00E+11,479292,LANDIS + GYR,RXRS4,CT900379,Medición Tele gestionada,Medicion Secundaria,INST.SALV.PARA EL DESARROLLO INTEGRAL DE LA NIÑEZ,SANTA TECLA,SANTA TECLA,SANTA TECLA,7° AVENIDA NORTE,8576.00,8704.00,8624.00,7904.00,7648.00,7264.00,6608.00,6592.00,6992.00,7424.00,6752.00,7184.00,7024.00,7632.00,8832.00,8288.00,7488.00,8288.00,7424.00,7104.00,8256.00,7840.00,8624.00,7984.00,7344.00,7040.00,8048.00,7504.00,7504.00,7424.00,7072.00,7040.00,7280.00,6944.00,6336.00,6832.00,6800.00,7200.00,6608.00,7024.00,8096.00,7680.00,7568.00,7296.00,7104.00,7104.00,Baja,"7,476",8.09%,-,,,
948,ST,ST_78_14,900327900,G_GMH,30117546,80,1.00E+11,14921,SIEMENS,RXRS4 (114E),CT900691,Medición Convencional ,Medicion Secundaria,"PINTURAS SUR DE EL SALVADOR, S.A. DE C.V.",ANTIGUO CUSCATLAN,SANTA ELENA,URB INDUSTRIAL SANTA ELENA,CALLE CHAPARRASTIQUE,6312.00,8232.00,9640.00,8520.00,9128.00,9544.00,10944.00,10872.00,11328.00,9168.00,8840.00,8736.00,7064.00,8448.00,9296.00,4984.00,4544.00,4560.00,6592.00,7072.00,7080.00,7672.00,6048.00,6832.00,6368.00,6712.00,8160.00,8368.00,9528.00,8760.00,8640.00,9384.00,9048.00,9240.00,8312.00,8384.00,6752.00,9184.00,9152.00,9592.00,8896.00,8888.00,9160.00,9048.00,7600.00,7600.00,Baja,"8,222",18.35%,-,,,
1245,ST,ST_78_01,207028201,G_MMP,30093262,240,1.00E+11,307481,SANGAMO,CYLP (120),CT1184,Medición Convencional ,Medicion Primaria ,DIRECCION GENERAL DE SANIDAD VEGETAL Y ANIMAL,SANTA TECLA,SANTA TECLA,SANTA TECLA,1° AVENIDA NORTE,4320.00,6120.00,7656.00,5808.00,7008.00,6600.00,6768.00,5328.00,5832.00,5040.00,4560.00,4536.00,3288.00,5040.00,5808.00,4128.00,3984.00,3888.00,4032.00,3432.00,4416.00,5112.00,1584.00,6096.00,3120.00,4080.00,4560.00,4680.00,6024.00,6552.00,5688.00,5160.00,5760.00,5688.00,5424.00,4704.00,5224.00,6472.00,5208.00,5680.00,5392.00,5496.00,5512.00,6112.00,4584.00,4584.00,Baja,"5,132",21.93%,-,,,
1255,ST,ST_78_01,207028301,G_GMH,30093406,240,1.00E+11,222637,LANDIS + GYR,RXRS4,CT900234,Medición Convencional ,Medicion Primaria ,DIRECCION GENERAL DE SANIDAD VEGETAL Y ANIMAL,SANTA TECLA,SANTA TECLA,SANTA TECLA,AVENIDA MANUEL GALLARDO,29520.00,35880.00,39552.00,33504.00,33216.00,38760.00,45744.00,41568.00,44448.00,41856.00,38400.00,41784.00,33144.00,41736.00,45192.00,39072.00,43584.00,42000.00,43944.00,39648.00,45960.00,48408.00,40728.00,43560.00,37440.00,43368.00,43320.00,40392.00,52368.00,54360.00,49728.00,46416.00,50664.00,48192.00,46056.00,36096.00,41832.00,46008.00,42912.00,46464.00,46656.00,64920.00,25728.00,47952.00,36204.00,36204.00,Media,"42,489",15.14%,-,,,
1280,ST,ST_78_02,207028501,G_GMH,30093444,160,1.00E+11,478539,SIEMENS,LIBRA (114E),CT900275,Medición Tele gestionada,Medicion Secundaria,"CALLEJA, S.A. DE C.V.",SANTA TECLA,SANTA TECLA,SANTA TECLA,3° AVENIDA SUR,51587.00,51800.00,58043.00,57936.00,63408.00,62848.00,62048.00,58512.00,63248.00,60992.00,57984.00,55088.00,56464.00,51184.00,58768.00,50928.00,48240.00,47280.00,46624.00,44128.00,48128.00,47904.00,43232.00,48256.00,48688.00,42656.00,47440.00,47968.00,50432.00,50496.00,49952.00,52064.00,49728.00,52720.00,46912.00,47776.00,45536.00,50592.00,47664.00,45808.00,44816.00,22848.00,64848.00,40800.00,39312.00,39312.00,Alta,"50,500",15.44%,-,,,
1252,ST,ST_78_01,207028801,G_GMH,30093740,60,1.00E+11,414665,SIEMENS,RXRS4 (114E),CT900274,Medición Tele gestionada,Medicion Secundaria,OPERADORA DEL SUR S.A. DE C.V.,SANTA TECLA,SANTA TECLA,SANTA TECLA,3° AVENIDA SUR,13422.00,12966.00,12882.00,11826.00,12696.00,12870.00,12996.00,12714.00,14310.00,14310.00,0.00,16470.00,11844.00,11094.00,12288.00,11568.00,11178.00,11448.00,11676.00,11220.00,12216.00,12258.00,11280.00,12576.00,12306.00,11850.00,13218.00,12690.00,13626.00,13182.00,13782.00,13764.00,13356.00,12414.00,11862.00,12978.00,12426.00,11730.00,11232.00,13128.00,12648.00,12654.00,12744.00,12162.00,12000.00,12000.00,Media,"12,301",17.07%,-,,,
1337,ST,ST_78_07,900169900,G_MMH,30102011,60,1.00E+11,115267,LANDIS + GYR,RXRS4,CT900511,Medición Convencional ,Medicion Secundaria,INMOBILIARIA CONSTELACION S.A. DE C.V.,SANTA TECLA,CIUDAD MERLIOT,JARDINES DE MERLIOT,AVENIDA EL ROSARIO,4098.00,4284.00,4338.00,3978.00,3588.00,4200.00,4710.00,4512.00,4248.00,4056.00,3846.00,4170.00,3990.00,4038.00,4542.00,3750.00,2982.00,2940.00,3546.00,3198.00,3306.00,3462.00,2934.00,3222.00,3066.00,3036.00,3366.00,3210.00,3660.00,3960.00,3726.00,3756.00,3654.00,3798.00,3696.00,3690.00,3414.00,3750.00,3642.00,3636.00,3336.00,4152.00,4380.00,3948.00,3846.00,3846.00,Baja,"3,750",11.88%,-,,,
1275,ST,ST_78_02,207029301,G_GMH,30094208,80,1.00E+11,115350,SIEMENS,RXRS4 (114E),CT900277,Medición Convencional ,Medicion Secundaria,POLLO CAMPERO DE EL SALVADOR S.A. DE C.V.,SANTA TECLA,SANTA TECLA,SANTA TECLA,2° CALLE ORIENTE,33816.00,33696.00,33712.00,31216.00,34056.00,36832.00,38064.00,36600.00,36752.00,34280.00,32840.00,37200.00,38232.00,35112.00,18320.00,1424.00,1392.00,200.00,200.00,136.00,1312.00,10920.00,31176.00,34480.00,34416.00,31680.00,36232.00,34272.00,37448.00,36656.00,35656.00,39632.00,39784.00,35800.00,36208.00,38416.00,36128.00,37032.00,0.00,36064.00,37080.00,37784.00,38544.00,35112.00,34848.00,34848.00,Media,"29,470",44.88%,-,,,
499,SS,SS_78_08,600734800,G_MMP,30435586,60,1.00E+11,66879,LANDIS + GYR,RXRS4,CT31084,Medición Convencional ,Medicion Secundaria,ALCALDIA MUNICIPAL DE PANCHIMALCO,PANCHIMALCO,PANCHIMALCO,BARRIO CONCEPCION,CALLE ANTIGUO A QUEZALAPA,9294.00,8748.00,7452.00,7164.00,7566.00,8388.00,9102.00,9354.00,9288.00,8628.00,7746.00,8454.00,7206.00,5856.00,9756.00,9054.00,8262.00,7704.00,9180.00,8400.00,9336.00,8406.00,7914.00,8544.00,7902.00,5742.00,9228.00,8412.00,8346.00,7944.00,6498.00,6798.00,6396.00,9048.00,8736.00,9300.00,6708.00,9372.00,8904.00,10020.00,9924.00,9516.00,8646.00,7314.00,9174.00,9174.00,Baja,"8,346",12.70%,-,,,
1242,ST,ST_78_01,207029701,G_GMH,30094422,80,1.00E+11,89,SCHLUMBERGER,SV4AR,CT900262,Medición Convencional ,Medicion Secundaria,"BANCO AGRICOLA, S.A.",SANTA TECLA,SANTA TECLA,SANTA TECLA,AVENIDA MANUEL GALLARDO,13656.00,13248.00,15856.00,13336.00,18136.00,16776.00,17776.00,17168.00,18528.00,15064.00,15168.00,17960.00,15176.00,13648.00,16904.00,18632.00,18048.00,14800.00,16616.00,14936.00,14296.00,16664.00,12392.00,13312.00,12472.00,13336.00,16232.00,16232.00,17752.00,15864.00,5488.00,11920.00,0.00,0.00,6032.00,12880.00,12104.00,15224.00,14016.00,15120.00,14936.00,17208.00,16880.00,14768.00,13680.00,13680.00,Media,"14,216",28.66%,-,,,
1236,ST,ST_15_06,509661401,G_MMH,30213724,40,1.00E+11,222491,LANDIS + GYR,RXRS4,CT9769,Medición Convencional ,Medicion Secundaria,"CANAL 35, S.A. DE C.V.",SANTA TECLA,CANTON EL PROGRESO,CASERIO EL PROGRESO,CALLE AL BOQUERON,7640.00,7244.00,7184.00,7560.00,7248.00,7408.00,7284.00,7204.00,7388.00,6744.00,6968.00,6940.00,6944.00,7052.00,6940.00,7364.00,7204.00,6580.00,6296.00,7272.00,6680.00,7224.00,6352.00,6580.00,6848.00,6964.00,6968.00,7204.00,6968.00,5996.00,6832.00,6864.00,6348.00,6444.00,6252.00,6196.00,6304.00,6216.00,6692.00,6408.00,6240.00,6464.00,6244.00,6196.00,5944.00,5944.00,Baja,"6,779",6.59%,-,,,
1261,ST,ST_78_01,207030001,G_GMH,30094642,160,1.00E+11,477797,SCHLUMBERGER,SV4AR,CT900266,Medición Convencional ,Medicion Secundaria,COLEGIO SALESIANO STA. CECILIA,SANTA TECLA,SANTA TECLA,SANTA TECLA,1° AVENIDA NORTE,9712.00,15744.00,18688.00,15728.00,16832.00,19744.00,19936.00,19968.00,20480.00,18896.00,15312.00,14400.00,8672.00,17776.00,18768.00,8704.00,7424.00,7792.00,7616.00,7072.00,7904.00,8544.00,8208.00,9680.00,8320.00,8592.00,9504.00,9328.00,10400.00,12368.00,11760.00,11968.00,14144.00,12688.00,11760.00,5152.00,0.00,0.00,0.00,12992.00,19248.00,17040.00,16736.00,20176.00,16704.00,16704.00,Media,"12,374",44.75%,-,,,
1291,ST,ST_78_02,207030101,G_GMH,30094694,120,1.00E+11,1103601,LANDIS + GYR,E650 S4x RXR F9S,CT32833,Medición Convencional ,Medicion Secundaria,"CALLEJA, S.A. DE C.V.",SANTA TECLA,SANTA TECLA,SANTA TECLA,6° AVENIDA SUR,42528.00,40128.00,42396.00,37452.00,41652.00,42840.00,41196.00,42168.00,42504.00,40848.00,38196.00,40932.00,40236.00,38076.00,42000.00,43344.00,40032.00,40740.00,40320.00,38340.00,23676.00,38832.00,35280.00,37344.00,36048.00,33612.00,36132.00,37452.00,40404.00,40356.00,39828.00,40908.00,35508.00,43332.00,35736.00,37380.00,36204.00,36540.00,35076.00,40068.00,38196.00,37776.00,38376.00,36948.00,36528.00,36528.00,Media,"38,696",8.64%,-,,,
1450,ST,ST_78_17,207030301,G_GMH,30094865,222,1.00E+11,322177,LANDIS + GYR,RXRS4,DS901601,Medición Convencional ,Medicion Primaria ,MINED CENTRO DE DESARROLLO PROFESIONAL DOCENTE,SANTA TECLA,SANTA TECLA,COLONIA QUEZALTEPEC,CALLE REAL,4684.00,6305.00,6993.00,6327.00,6016.00,7237.00,7393.00,5661.00,8969.00,8369.00,6660.00,7792.00,7304.00,9835.00,10234.00,5239.00,6438.00,10456.00,12809.00,10123.00,14386.00,17072.00,13498.00,15251.00,11433.00,16117.00,17138.00,15318.00,18493.00,16983.00,19358.00,16672.00,22511.00,20801.00,18204.00,14030.00,16162.00,20335.00,17027.00,16961.00,17249.00,19136.00,15340.00,18004.00,15873.00,15873.00,Media,"12,915",38.32%,-,,,
1289,ST,ST_78_02,207030801,G_GMH,30095328,160,1.00E+11,479408,SIEMENS,LIBRA (114E),CT901448,Medición Tele gestionada,Medicion Secundaria,OPERADORA DEL SUR S.A. DE C.V.,SANTA TECLA,SANTA TECLA,SANTA TECLA,CALLE DANIEL HERNANDEZ,75184.00,74832.00,75456.00,67808.00,75424.00,79408.00,76592.00,70464.00,76080.00,67952.00,63024.00,67040.00,65200.00,59264.00,66736.00,69392.00,64096.00,65376.00,67504.00,63120.00,66656.00,67328.00,60800.00,64736.00,63472.00,61216.00,74928.00,74112.00,82048.00,78992.00,79328.00,81344.00,81504.00,77744.00,71504.00,74384.00,74800.00,78192.00,73984.00,82272.00,71072.00,79984.00,83504.00,82992.00,73168.00,73168.00,Alta,"72,243",9.32%,-,,,
835,ST,ST_03_11,200721301,G_GMH,30103568,80,1.00E+11,278392,LANDIS + GYR,RXRS4,CT900651,Medición Convencional ,Medicion Secundaria,MARINA VALLE,ANTIGUO CUSCATLAN,CIUDAD MERLIOT,ANTIGUO CUSCATLAN,CALLE L 1,3184.00,4656.00,5432.00,5664.00,5088.00,5640.00,5712.00,6376.00,5360.00,6088.00,6088.00,6120.00,3472.00,4976.00,5120.00,2680.00,72.00,80.00,2328.00,4688.00,4760.00,5400.00,5344.00,5280.00,2392.00,5096.00,4960.00,4784.00,4584.00,4616.00,4472.00,4688.00,4584.00,4504.00,4952.00,2216.00,4608.00,4800.00,4784.00,4072.00,4456.00,4256.00,5008.00,4952.00,4832.00,4832.00,Baja,"4,523",29.47%,-,,,
769,ST,ST_01_01,516144801,G_MMH,30363200,60,1.00E+11,183055,LANDIS + GYR,RXRS4,CT31108,Medición Convencional ,Medicion Secundaria,"STEINER, S.A. DE C.V.",ANTIGUO CUSCATLAN,SANTA ELENA,URB INDUSTRIAL SANTA ELENA,CALLE SIEMENS,6036.00,6678.00,7464.00,7800.00,5802.00,6318.00,6642.00,7530.00,5766.00,6738.00,6726.00,6288.00,5208.00,6102.00,6468.00,6414.00,5316.00,6816.00,7338.00,8478.00,6894.00,7020.00,8034.00,7146.00,5634.00,6672.00,7152.00,6264.00,7128.00,8058.00,5862.00,3708.00,4530.00,4542.00,4308.00,3750.00,3186.00,3486.00,4002.00,3696.00,3690.00,3630.00,3756.00,3390.00,3198.00,3198.00,Baja,"5,736",27.39%,-,,,
1276,ST,ST_78_02,207031301,G_GMH,30095591,160,1.00E+11,106040,LANDIS + GYR,RXRS4,CT900281,Medición Convencional ,Medicion Secundaria,"LIZA,S.A.DE C.V.",SANTA TECLA,SANTA TECLA,SANTA TECLA,AVENIDA SAN MARTIN,29312.00,34944.00,42368.00,32912.00,35440.00,37584.00,39888.00,32160.00,38592.00,37808.00,36352.00,33168.00,26688.00,35552.00,37056.00,25936.00,27824.00,24080.00,33856.00,30128.00,33488.00,37072.00,31744.00,33296.00,30320.00,35680.00,37936.00,32288.00,39552.00,40384.00,37712.00,28016.00,42688.00,33200.00,35440.00,30304.00,33168.00,39024.00,36640.00,35536.00,35520.00,37680.00,31760.00,29680.00,33696.00,33696.00,Media,"34,286",12.14%,-,,,
1281,ST,ST_78_02,207031701,G_GMH,30095731,160,1.00E+11,478545,SIEMENS,LIBRA (114E),CT100278,Medición Tele gestionada,Medicion Secundaria,"CTE,S.A. DE C.V.",SANTA TECLA,SANTA TECLA,SANTA TECLA,4° CALLE ORIENTE,92000.00,93456.00,93280.00,85792.00,92416.00,91840.00,90176.00,91872.00,94816.00,91232.00,85760.00,93232.00,92224.00,87136.00,91152.00,94400.00,88800.00,93328.00,93376.00,88016.00,93120.00,92992.00,87104.00,93136.00,93792.00,86832.00,94144.00,91088.00,96608.00,95616.00,91392.00,91296.00,88272.00,95824.00,89584.00,96672.00,97392.00,95872.00,90832.00,98368.00,101984.00,104864.00,104960.00,100944.00,97248.00,97248.00,Alta,"93,293",4.75%,-,,,
1430,ST,ST_78_16,207031901,G_GMH,30095771,960,1.00E+11,183028,LANDIS + GYR,RXRS4,CT900558,Medición Tele gestionada,Medicion Primaria ,"DIZAC,S.A. DE C.V.",SANTA TECLA,SANTA TECLA,SANTA TECLA,CALLE A SANTA TECLA,46656.00,54240.00,60672.00,56448.00,57792.00,66048.00,55008.00,54432.00,60000.00,60192.00,54720.00,50688.00,43680.00,50784.00,51264.00,63168.00,56832.00,49824.00,55008.00,43488.00,47904.00,50304.00,40320.00,55392.00,54240.00,59808.00,49248.00,55584.00,62304.00,64032.00,56352.00,61152.00,60960.00,59328.00,58272.00,56544.00,62208.00,67296.00,61824.00,,,,,,,,#N/D,#N/D,0.00%,-,,,
1470,ST,ST_78_11,207019401,G_MMH,30088479,60,1.00E+11,322104,LANDIS + GYR,RXRS4,CT7076,Medición Convencional ,Medicion Secundaria,"PEDRERA PROTERSA, S.A. DE C.V.",TEPECOYO,TEPECOYO,TEPECOYO,CALLE A TEPECOYO,2310.00,2250.00,2058.00,2028.00,1794.00,1668.00,1584.00,1470.00,1518.00,1674.00,1506.00,1704.00,1326.00,1212.00,1476.00,1344.00,1248.00,1212.00,1038.00,930.00,1236.00,1464.00,1344.00,1188.00,1440.00,1044.00,1188.00,1128.00,1260.00,1422.00,1398.00,1344.00,1218.00,1338.00,1320.00,1362.00,1302.00,1314.00,1302.00,1416.00,1164.00,1104.00,1266.00,1080.00,1074.00,1074.00,Baja,"1,394",19.53%,-,,,
1307,ST,ST_78_03,207032501,E_GMH,30096251,600,1.00E+11,222564,LANDIS + GYR,RXRS4,CT900413,Medición Tele gestionada,Medicion Primaria ,LAGEO S.A. DE C.V.,SANTA TECLA,SANTA TECLA,COLONIA EL PINO,17° AVENIDA SUR,27960.00,37260.00,41220.00,34980.00,35400.00,40620.00,45600.00,36720.00,43200.00,41280.00,37500.00,39600.00,28860.00,35280.00,38280.00,21540.00,17340.00,19740.00,33000.00,26040.00,31260.00,33060.00,30840.00,32040.00,25680.00,31980.00,34680.00,31680.00,34500.00,33960.00,33060.00,33060.00,32460.00,31320.00,30780.00,29880.00,28560.00,35880.00,31680.00,32280.00,31380.00,36780.00,30360.00,32040.00,27960.00,27960.00,Media,"32,751",17.07%,-,,,
